time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.endpoint_state.header.seq,.endpoint_state.header.stamp.secs,.endpoint_state.header.stamp.nsecs,.endpoint_state.header.frame_id,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.endpoint_state.twist.linear.x,.endpoint_state.twist.linear.y,.endpoint_state.twist.linear.z,.endpoint_state.twist.angular.x,.endpoint_state.twist.angular.y,.endpoint_state.twist.angular.z,.endpoint_state.wrench.force.x,.endpoint_state.wrench.force.y,.endpoint_state.wrench.force.z,.endpoint_state.wrench.torque.x,.endpoint_state.wrench.torque.y,.endpoint_state.wrench.torque.z,.joint_state.header.seq,.joint_state.header.stamp.secs,.joint_state.header.stamp.nsecs,.joint_state.header.frame_id,.joint_state.name,.joint_state.position,.joint_state.velocity,.joint_state.effort,.wrench_stamped.header.seq,.wrench_stamped.header.stamp.secs,.wrench_stamped.header.stamp.nsecs,.wrench_stamped.header.frame_id,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z,.tag
2017/09/18/21:28:36.640147,162311,1505741316,636787465,,588740,1505741316,636787465,,0.427712686107,-0.641725953249,0.0641230473457,0.239347396413,0.936558441397,-0.191849778844,-0.169601804339,-0.0891641673835,-0.0538596506346,-0.00673279168061,-0.054624399986,0.0675552950603,-0.126528130278,1.26245391369,-0.757376134396,3.7210521698,0.34737610817,0.45525676012,-0.514601826668,589138,1505741316,634876879,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028378644575880154, -1.1397477253988624, 1.96081094211453, 0.005368932757598948, -0.9817477042466648, 0.6615292147755847, 1.0070583872467742, -0.502378708032473, 0.10200972239438001, 1.7564080021287987, 0.23048061337978343, -1.003606930474032, -0.5499321124569209, 1.161990446823201, 0.35319907641061654, -12.565987119160338)","(0.0, 0.0019634954081253035, 0.00510508806112579, -0.007853981632501214, 0.0027488935713754254, 0.004319689897875668, -0.0007853981632501215, -0.012959069693627005, -0.01531526418337737, -0.0750055245903866, 0.08168140897801264, -0.07029313561088588, 0.0, -0.05183627877450802, -0.029845130203504617, 0.04908738520313259, 0.0)","(0.0, 0.0, -9.824, -9.42, 0.34, -10.568, 0.224, 0.26, -0.196, 0.372, -10.92, -0.652, -26.616, -1.22, 1.82, 0.38, -20.48)",543854,1505741316,635820484,robotiq_force_torque_frame_id,0.386000049859,0.39199999366,2.58400030136,-0.0890000015497,-0.00200000009499,-0.0209999997169,0
2017/09/18/21:28:36.649557,162312,1505741316,646782884,,588741,1505741316,646782884,,0.426972998396,-0.64221684385,0.0637851110935,0.239642184413,0.936366372794,-0.192029627165,-0.170041940832,-0.0937381535685,-0.0806993700763,0.00107123096177,-0.0909510568558,0.0561563957736,-0.14680718589,0.677892804146,-0.546048402786,3.35048437119,0.212559878826,0.190087884665,-0.368142932653,589139,1505741316,644872117,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028762139772851508, -1.1401312205958338, 1.9604274469175587, 0.004985437560627594, -0.9821311994436361, 0.6615292147755847, 1.0074418824437454, -0.501228222441559, 0.10162622719740866, 1.7567914973257701, 0.22971362298584072, -1.0028399400800891, -0.5506991028508635, 1.1616069516262295, 0.3535825716075879, -12.565987119160338)","(0.0, -0.010995574285501701, -0.012566370612001944, -0.023169245815878585, -0.003926990816250607, -0.007461282550876154, -0.01767145867312773, 0.024740042142378828, -0.007853981632501214, -0.12684180336489462, 0.07107853377413599, -0.06361725122325984, -0.007461282550876154, -0.060475658570259355, -0.04555309346850705, 0.0420188017338815, 0.0)","(0.0, 0.0, -9.664, -9.452, 0.308, -10.536, 0.26, 0.252, -0.184, 0.436, -10.768, -0.684, -26.556, -1.252, 1.696, 0.4, -20.48)",543854,1505741316,635820484,robotiq_force_torque_frame_id,0.386000049859,0.39199999366,2.58400030136,-0.0890000015497,-0.00200000009499,-0.0209999997169,0
2017/09/18/21:28:36.660270,162313,1505741316,656793000,,588742,1505741316,656793000,,0.425223877617,-0.643021864608,0.0636031116208,0.240628612256,0.935862204201,-0.192320359687,-0.171092621005,-0.102712150236,-0.077032922327,-0.00141551605515,-0.0782842731214,0.0568933445839,-0.161767406608,-0.548741698265,-0.420903027058,3.48395776749,0.212355077267,-0.206580236554,-0.187311887741,589139,1505741316,644872117,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028762139772851508, -1.1401312205958338, 1.9604274469175587, 0.004985437560627594, -0.9821311994436361, 0.6615292147755847, 1.0074418824437454, -0.501228222441559, 0.10162622719740866, 1.7567914973257701, 0.22971362298584072, -1.0028399400800891, -0.5506991028508635, 1.1616069516262295, 0.3535825716075879, -12.565987119160338)","(0.0, -0.010995574285501701, -0.012566370612001944, -0.023169245815878585, -0.003926990816250607, -0.007461282550876154, -0.01767145867312773, 0.024740042142378828, -0.007853981632501214, -0.12684180336489462, 0.07107853377413599, -0.06361725122325984, -0.007461282550876154, -0.060475658570259355, -0.04555309346850705, 0.0420188017338815, 0.0)","(0.0, 0.0, -9.664, -9.452, 0.308, -10.536, 0.26, 0.252, -0.184, 0.436, -10.768, -0.684, -26.556, -1.252, 1.696, 0.4, -20.48)",543855,1505741316,648270887,robotiq_force_torque_frame_id,0.195999992639,0.0919999966398,2.96399946213,-0.0810000002384,-0.00899999961257,-0.0230000000447,0
2017/09/18/21:28:36.670116,162314,1505741316,666790498,,588743,1505741316,666790498,,0.424596028431,-0.643034801658,0.0631754219605,0.240361416175,0.935869003555,-0.192465958497,-0.171267196565,-0.100853548127,-0.0790542927397,-0.00464378460292,-0.0762611274865,0.0733984656712,-0.102922126372,-0.375200301409,-0.544538259506,3.52355480194,0.312696576118,-0.133522719145,-0.195507481694,589139,1505741316,644872117,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028762139772851508, -1.1401312205958338, 1.9604274469175587, 0.004985437560627594, -0.9821311994436361, 0.6615292147755847, 1.0074418824437454, -0.501228222441559, 0.10162622719740866, 1.7567914973257701, 0.22971362298584072, -1.0028399400800891, -0.5506991028508635, 1.1616069516262295, 0.3535825716075879, -12.565987119160338)","(0.0, -0.010995574285501701, -0.012566370612001944, -0.023169245815878585, -0.003926990816250607, -0.007461282550876154, -0.01767145867312773, 0.024740042142378828, -0.007853981632501214, -0.12684180336489462, 0.07107853377413599, -0.06361725122325984, -0.007461282550876154, -0.060475658570259355, -0.04555309346850705, 0.0420188017338815, 0.0)","(0.0, 0.0, -9.664, -9.452, 0.308, -10.536, 0.26, 0.252, -0.184, 0.436, -10.768, -0.684, -26.556, -1.252, 1.696, 0.4, -20.48)",543856,1505741316,656509582,robotiq_force_torque_frame_id,0.646000040323,-0.548000003956,2.84399957657,-0.0930000022054,-0.00200000009499,-0.00899999961257,0
2017/09/18/21:28:36.679928,162315,1505741316,676806753,,588744,1505741316,676806753,,0.422994319531,-0.644831431809,0.0636908410659,0.241403229234,0.935282856296,-0.193427983226,-0.171918803332,-0.0878385557928,-0.0623724020749,-0.0146872418412,-0.0597203791736,0.0561335357788,-0.0874660361226,1.22952926159,-0.972431838512,3.63933086395,0.480544507504,0.417490839958,-0.47850009799,589142,1505741316,674877489,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028378644575880154, -1.1397477253988624, 1.9604274469175587, 0.004985437560627594, -0.9817477042466648, 0.6615292147755847, 1.0070583872467742, -0.5016117176385303, 0.09702428483375242, 1.7602429540985123, 0.22779614700098394, -1.0028399400800891, -0.553383569229663, 1.1604564660353156, 0.35434956200153056, -12.565987119160338)","(0.0, -0.007461282550876154, 0.0070685834692510935, 0.012173671530376884, -0.0070685834692510935, -0.015707963265002428, -0.009817477040626518, -0.018456856836377853, 0.023954643979128706, -0.10485065479389122, 0.10131636305926567, -0.05537057050913356, 0.0023561944897503642, -0.06440264938650996, -0.08325220530451288, 0.024347343060753767, 0.0)","(0.0, 0.0, -9.632, -9.516, 0.372, -10.568, 0.232, 0.28, -0.204, 0.56, -10.86, -0.872, -26.524, -1.336, 1.84, 0.4, -20.48)",543857,1505741316,668842331,robotiq_force_torque_frame_id,1.13599993065,-0.337999995612,2.32400007248,-0.0719999969006,0.0140000004321,-0.0260000005364,0
2017/09/18/21:28:36.687945,162316,1505741316,686780176,,588745,1505741316,686780176,,0.422641657304,-0.644874227933,0.0633750602068,0.241228561981,0.935334974373,-0.193378246602,-0.171936384571,-0.106106695865,-0.0816202277795,-0.00382979310713,-0.0906041750449,0.0695500400605,-0.129310111807,1.94496703148,-1.15063452721,3.61042690277,0.48494464159,0.713370084763,-0.660719752312,589143,1505741316,684876657,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028378644575880154, -1.1397477253988624, 1.9611944373115016, 0.004601942363656241, -0.9817477042466648, 0.661912709972556, 1.0074418824437454, -0.501228222441559, 0.09702428483375242, 1.7613934396894264, 0.2274126518040126, -1.0028399400800891, -0.5537670644266344, 1.1593059804444015, 0.35434956200153056, -12.565987119160338)","(0.0, -0.006283185306000972, -0.009817477040626518, -0.0070685834692510935, 0.006675884387626033, -0.01767145867312773, -0.0007853981632501215, -0.013744467856877126, -0.007853981632501214, -0.1009236639776406, 0.10406525663064109, -0.08874999244726373, -0.009032078877376396, -0.09228428418188928, -0.06086835765188441, 0.051443579692882956, 0.0)","(0.0, 0.0, -9.632, -9.516, 0.436, -10.504, 0.224, 0.268, -0.196, 0.404, -11.008, -0.748, -26.492, -1.272, 1.88, 0.42, -20.48)",543858,1505741316,677095993,robotiq_force_torque_frame_id,0.745999944955,0.572000000812,2.08400030136,-0.0960000008345,0.0260000005364,-0.0240000002086,0
2017/09/18/21:28:36.697760,162317,1505741316,696784981,,588746,1505741316,696784981,,0.421290005624,-0.645440645978,0.0633387592201,0.242105873661,0.934901525058,-0.193718390463,-0.172676198647,-0.0977783605662,-0.0703937310254,-0.00790541307671,-0.078164523805,0.0757570428368,-0.0967587012623,1.61406171322,-0.982659220695,3.79548072815,0.507824659348,0.604762017727,-0.626420795918,589144,1505741316,694843930,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0279951493789088, -1.1393642302018911, 1.9604274469175587, 0.004985437560627594, -0.9821311994436361, 0.6611457195786133, 1.0066748920498028, -0.5008447272445876, 0.095490304045867, 1.7625439252803403, 0.22702915660704123, -1.0028399400800891, -0.5541505596236057, 1.1593059804444015, 0.3551165523954733, -12.565987119160338)","(0.0, -0.0007853981632501215, 0.0023561944897503642, -0.0027488935713754254, -0.01727875959150267, 0.008246680714126275, -0.010995574285501701, 0.007461282550876154, -0.011780972448751823, -0.09974556673276543, 0.10249446030414085, -0.0659734457130102, -0.0007853981632501215, -0.08796459428401361, -0.062439153978384655, 0.03848450999925595, 0.0)","(0.0, 0.0, -9.6, -9.544, 0.404, -10.504, 0.232, 0.268, -0.184, 0.34, -10.888, -0.748, -26.524, -1.204, 1.92, 0.392, -20.48)",543859,1505741316,689429850,robotiq_force_torque_frame_id,1.41599990204,1.06199995074,2.37400026321,-0.101999998093,0.0289999991655,-0.0230000000447,0
2017/09/18/21:28:36.709712,162318,1505741316,706780984,,588747,1505741316,706780984,,0.421417467427,-0.646650864897,0.0637871604826,0.242332535218,0.934795812393,-0.194627751558,-0.171906282118,-0.10211395802,-0.0568411093731,-0.00888350023451,-0.0747257064647,0.0886139891817,-0.106143792076,0.0783319547772,-0.446373343468,3.87810611725,0.31695240736,0.0277458801866,-0.404564261436,589144,1505741316,694843930,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0279951493789088, -1.1393642302018911, 1.9604274469175587, 0.004985437560627594, -0.9821311994436361, 0.6611457195786133, 1.0066748920498028, -0.5008447272445876, 0.095490304045867, 1.7625439252803403, 0.22702915660704123, -1.0028399400800891, -0.5541505596236057, 1.1593059804444015, 0.3551165523954733, -12.565987119160338)","(0.0, -0.0007853981632501215, 0.0023561944897503642, -0.0027488935713754254, -0.01727875959150267, 0.008246680714126275, -0.010995574285501701, 0.007461282550876154, -0.011780972448751823, -0.09974556673276543, 0.10249446030414085, -0.0659734457130102, -0.0007853981632501215, -0.08796459428401361, -0.062439153978384655, 0.03848450999925595, 0.0)","(0.0, 0.0, -9.6, -9.544, 0.404, -10.504, 0.232, 0.268, -0.184, 0.34, -10.888, -0.748, -26.524, -1.204, 1.92, 0.392, -20.48)",543861,1505741316,706176054,robotiq_force_torque_frame_id,1.04600001648,0.982000027038,2.72399969101,-0.0930000022054,0.00200000009499,-0.0010000000475,0
2017/09/18/21:28:36.717541,162319,1505741316,716813230,,588748,1505741316,716813230,,0.419865025856,-0.646515179334,0.0632145733411,0.2434953486,0.934393133525,-0.194302869167,-0.172817482522,-0.0896937319568,-0.0587324384362,0.00181089157675,-0.0823595920815,0.060851610304,-0.148822060059,-0.127013862133,-0.647202670574,4.39964056015,0.61110252142,-0.185699701309,-0.373750299215,589144,1505741316,694843930,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.0279951493789088, -1.1393642302018911, 1.9604274469175587, 0.004985437560627594, -0.9821311994436361, 0.6611457195786133, 1.0066748920498028, -0.5008447272445876, 0.095490304045867, 1.7625439252803403, 0.22702915660704123, -1.0028399400800891, -0.5541505596236057, 1.1593059804444015, 0.3551165523954733, -12.565987119160338)","(0.0, -0.0007853981632501215, 0.0023561944897503642, -0.0027488935713754254, -0.01727875959150267, 0.008246680714126275, -0.010995574285501701, 0.007461282550876154, -0.011780972448751823, -0.09974556673276543, 0.10249446030414085, -0.0659734457130102, -0.0007853981632501215, -0.08796459428401361, -0.062439153978384655, 0.03848450999925595, 0.0)","(0.0, 0.0, -9.6, -9.544, 0.404, -10.504, 0.232, 0.268, -0.184, 0.34, -10.888, -0.748, -26.524, -1.204, 1.92, 0.392, -20.48)",543861,1505741316,706176054,robotiq_force_torque_frame_id,1.04600001648,0.982000027038,2.72399969101,-0.0930000022054,0.00200000009499,-0.0010000000475,0
2017/09/18/21:28:36.727820,162320,1505741316,726784827,,588749,1505741316,726784827,,0.418934866353,-0.64753015799,0.0637038132098,0.24452711637,0.933904222046,-0.195005968628,-0.173211043539,-0.109324425557,-0.0779030142562,0.00700251643621,-0.107766735257,0.075274209059,-0.207163960964,0.300199180841,-0.998846769333,4.94060516357,0.828904032707,-0.0967535302043,-0.445366352797,589147,1505741316,724878248,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028378644575880154, -1.1397477253988624, 1.9600439517205874, 0.004601942363656241, -0.9825146946406075, 0.661912709972556, 1.0066748920498028, -0.5019952128355016, 0.09242234247009617, 1.7644614012651971, 0.22549517581915582, -1.003606930474032, -0.5560680356084625, 1.1585389900504588, 0.3578010187742728, -12.565987119160338)","(0.0, -0.0011780972448751821, -0.001570796326500243, -0.021598449489378342, 0.004319689897875668, 0.003926990816250607, -0.001570796326500243, -0.02081305132612822, 0.013744467856877126, -0.13783737765039633, 0.07186393193738612, -0.06126105673350948, -0.009032078877376396, -0.05458517234588344, -0.012959069693627005, 0.08678649703913842, 0.0)","(0.0, 0.0, -9.76, -9.516, 0.404, -10.6, 0.24, 0.32, -0.212, 0.468, -10.86, -1.276, -27.04, -1.228, 1.92, 0.408, -20.48)",543862,1505741316,718509825,robotiq_force_torque_frame_id,0.935999882966,0.961999986507,2.66400022507,-0.0890000015497,-0.00600000005215,0.0130000002682,0
