time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.endpoint_state.header.seq,.endpoint_state.header.stamp.secs,.endpoint_state.header.stamp.nsecs,.endpoint_state.header.frame_id,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.endpoint_state.twist.linear.x,.endpoint_state.twist.linear.y,.endpoint_state.twist.linear.z,.endpoint_state.twist.angular.x,.endpoint_state.twist.angular.y,.endpoint_state.twist.angular.z,.endpoint_state.wrench.force.x,.endpoint_state.wrench.force.y,.endpoint_state.wrench.force.z,.endpoint_state.wrench.torque.x,.endpoint_state.wrench.torque.y,.endpoint_state.wrench.torque.z,.joint_state.header.seq,.joint_state.header.stamp.secs,.joint_state.header.stamp.nsecs,.joint_state.header.frame_id,.joint_state.name,.joint_state.position,.joint_state.velocity,.joint_state.effort,.wrench_stamped.header.seq,.wrench_stamped.header.stamp.secs,.wrench_stamped.header.stamp.nsecs,.wrench_stamped.header.frame_id,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z,.tag
2017/09/18/22:10:03.848677,102613,1505743803,846653372,,837461,1505743803,846653372,,0.434880068791,-0.639202088847,0.0694740525251,0.238682314342,0.938232360714,-0.189721810659,-0.163573912007,-0.0823988563314,-0.0586021357761,-0.0152292090166,-0.0787206516384,0.0306749977774,-0.169104188869,0.704336941242,-0.371254086494,3.13573384285,0.19830518961,0.378752350807,-0.384298175573,837860,1505743803,854711611,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028378644575880154, -1.138213744610977, 1.9600439517205874, 0.007286408742455715, -0.9821311994436361, 0.661912709972556, 1.0070583872467742, -0.5016117176385303, 0.09280583766706753, 1.7521895549621138, 0.24006799330406725, -1.016645767171058, -0.5357427901689807, 1.164291418005029, 0.34361169648633266, -12.565987119160338)","(0.0, 0.0027488935713754254, 0.003141592653000486, -0.0047123889795007284, 0.003926990816250607, -0.00039269908162506076, 0.0027488935713754254, 0.01688606050987761, -0.024740042142378828, -0.11663162724264303, 0.10288715938576591, -0.0640099503048849, -0.009424777959001457, -0.07775441816176203, -0.04358959806038174, 0.10563605295714133, 0.0)","(0.0, 0.0, -9.6, -9.64, 0.436, -10.536, 0.296, 0.212, -0.224, -0.06, -10.74, -0.56, -26.16, -1.212, 1.724, 0.408, -20.48)",138426,1505743803,840569752,robotiq_force_torque_frame_id,1.56200010274,0.18700003624,2.69000034332,-0.0489999987185,-0.0170000009239,0.0,0
2017/09/18/22:10:03.859637,102614,1505743803,856668432,,837462,1505743803,856668432,,0.433252037434,-0.640254298172,0.0698873121781,0.240601849133,0.937568384414,-0.19002174401,-0.164219400632,-0.106896717197,-0.0751816000584,-0.00258702588428,-0.110160041357,0.0688329432703,-0.183954910965,0.462840139866,-0.349881887436,2.84851336479,-0.062856733799,0.329804509878,-0.411677926779,837861,1505743803,864709876,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028378644575880154, -1.1374467542170343, 1.9600439517205874, 0.006902913545484362, -0.9825146946406075, 0.661912709972556, 1.0066748920498028, -0.5019952128355016, 0.09318933286403888, 1.7529565453560565, 0.24045148850103862, -1.0158787767771154, -0.5365097805629234, 1.1631409324141149, 0.34361169648633266, -12.565987119160338)","(0.0, -0.01021017612225158, 0.0011780972448751821, -0.013351768775252066, -0.005890486224375911, -0.005497787142750851, 0.0, 0.019634954081253035, 0.022383847652628464, -0.1189878217323934, 0.1009236639776406, -0.0750055245903866, 0.007853981632501214, -0.0530143760193832, -0.039662607244131134, 0.07539822367201165, 0.0)","(0.0, 0.0, -9.632, -9.608, 0.34, -10.536, 0.268, 0.192, -0.196, 0.28, -10.708, -0.716, -26.1, -1.296, 1.668, 0.38, -20.48)",138427,1505743803,852893259,robotiq_force_torque_frame_id,1.27200002167,-0.223000049591,2.99999980927,-0.0469999983907,-0.0189999993891,-0.00999999977648,0
2017/09/18/22:10:03.869092,102615,1505743803,866650216,,837463,1505743803,866650216,,0.433316634538,-0.639978765005,0.0693185573226,0.239768218951,0.937761551195,-0.190068807534,-0.164281230467,-0.116291592628,-0.0691018943254,-0.0122189845922,-0.0739538333201,0.0870511428705,-0.188325497161,0.347731947899,-0.483338713646,2.74699640274,0.0895884633064,0.219327956438,-0.301985502243,331123,1505743803,875000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138428,1505743803,861099267,robotiq_force_torque_frame_id,0.322000033595,0.586999952793,2.74999980927,-0.0460000000894,-0.0399999991059,-0.0320000015199,0
2017/09/18/22:10:03.879867,102616,1505743803,876645758,,837464,1505743803,876645758,,0.432688088181,-0.641505219935,0.0694657758632,0.241733650915,0.937333734937,-0.190351890387,-0.163512902213,-0.092566365215,-0.0510562472281,-0.0208600118497,-0.0488380896405,0.0340108137854,-0.179744761939,0.940091013908,-0.922943115234,2.84377908707,0.287654578686,0.367048799992,-0.374625861645,331123,1505743803,875000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138429,1505743803,873474852,robotiq_force_torque_frame_id,-0.367999993823,-0.113000035286,2.40999965668,-0.0270000007004,-0.0260000005364,-0.0250000003725,0
2017/09/18/22:10:03.889323,102617,1505743803,886654351,,837465,1505743803,886654351,,0.430802354724,-0.642266679788,0.0691751117973,0.242200251269,0.936895519473,-0.190896204134,-0.164695061019,-0.0882017997581,-0.0605108451575,-0.0147990418101,-0.060492872765,0.029624832023,-0.154401704469,1.61563944817,-1.44805634022,3.17291212082,0.60522633791,0.535316467285,-0.556928753853,331123,1505743803,875000064,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138430,1505743803,881747259,robotiq_force_torque_frame_id,-0.0279999902472,-0.653000116348,2.45999984741,-0.0439999997616,-0.0120000001043,-0.00999999977648,0
2017/09/18/22:10:03.898872,102618,1505743803,896644808,,837466,1505743803,896644808,,0.430504055166,-0.641984113362,0.0686403147991,0.241915181534,0.936985169545,-0.190678061609,-0.164856646265,-0.111939270776,-0.0693159060641,-0.0172049688449,-0.070191892757,0.0747150212732,-0.146897912916,1.63954412937,-1.41900539398,3.00851345062,0.476618111134,0.585887372494,-0.606742203236,837864,1505743803,894726299,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.028378644575880154, -1.138213744610977, 1.9604274469175587, 0.007669903939427069, -0.9817477042466648, 0.6615292147755847, 1.0062913968528313, -0.5008447272445876, 0.08935438089432535, 1.7564080021287987, 0.23853401251618184, -1.0158787767771154, -0.5376602661538376, 1.1596894756413727, 0.3451456772742181, -12.565987119160338)","(0.0, 0.003926990816250607, 0.014137166938502187, 0.003141592653000486, 0.00039269908162506076, 0.00510508806112579, -0.012566370612001944, -0.03848450999925595, 0.0027488935713754254, -0.15472343816027392, 0.12212941438539389, -0.04555309346850705, 0.0011780972448751821, -0.04751658887663235, -0.08560839979426324, 0.04162610265225644, 0.0)","(0.0, 0.0, -9.728, -9.516, 0.436, -10.6, 0.284, 0.328, -0.204, 0.156, -11.16, -0.872, -26.192, -1.26, 1.656, 0.392, -20.48)",138431,1505743803,894045779,robotiq_force_torque_frame_id,-0.257999979518,-1.18300008774,2.97000007629,-0.0520000010729,-0.01600000076,0.0,0
2017/09/18/22:10:03.907969,102619,1505743803,906647080,,837467,1505743803,906647080,,0.429040307072,-0.642655451844,0.0683411897288,0.242577197477,0.936654447469,-0.190753578552,-0.165673840933,-0.106194733839,-0.0556413020295,-0.0181543828795,-0.045173150721,0.0995096140437,-0.101227438022,0.988277077675,-0.827725887299,3.22627496719,0.398491680622,0.314614951611,-0.427916765213,331124,1505743803,911000064,,['r_gripper_l_finger_joint'],"(0.02004972373366356,)","(0.0,)","(0.0,)",138432,1505743803,902307543,robotiq_force_torque_frame_id,0.492000050284,-1.86299991608,2.95999984741,-0.0399999991059,-0.0230000000447,0.0010000000475,0
2017/09/18/22:10:03.917799,102620,1505743803,916654046,,837468,1505743803,916654046,,0.428385955191,-0.643341519558,0.0686207110061,0.243078755607,0.936450222679,-0.191089909101,-0.16570559935,-0.101313323722,-0.0604012273992,-0.0222473066995,-0.0504822221983,0.0826401905418,-0.106234067097,1.50056290627,-0.90190243721,3.47686910629,0.480378866196,0.547881364822,-0.511403262615,331125,1505743803,926000128,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138433,1505743803,910572071,robotiq_force_torque_frame_id,1.09199995492,-1.29299998283,3.05,-0.0450000017881,-0.0250000003725,-0.0010000000475,0
2017/09/18/22:10:03.927638,102621,1505743803,926650448,,837469,1505743803,926650448,,0.428016132946,-0.644517846384,0.0687619827363,0.24362051107,0.936206262805,-0.191814110416,-0.165451585415,-0.078887581545,-0.0577469624108,-0.0150403903504,-0.0641779336734,0.0395203386417,-0.0917456680873,2.42031145096,-1.57411313057,3.81778264046,0.864108324051,0.846054792404,-0.749549865723,331125,1505743803,926000128,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138434,1505743803,922929360,robotiq_force_torque_frame_id,1.26200003121,-1.37299990654,3.11999969482,-0.0430000014603,-0.0209999997169,0.00200000009499,0
2017/09/18/22:10:03.938713,102622,1505743803,936652734,,837470,1505743803,936652734,,0.426449665129,-0.644937399213,0.0682294347844,0.244212568052,0.935771598996,-0.192342539279,-0.166421403979,-0.0916867840443,-0.0673179985763,-0.0131662967699,-0.0904923597233,0.0721917465172,-0.131786422582,1.72413384914,-1.89569282532,3.81194496155,0.872409164906,0.59339338541,-0.69515812397,331125,1505743803,926000128,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",138435,1505743803,931197940,robotiq_force_torque_frame_id,1.05199999306,-1.84299993515,2.94000034332,-0.0520000010729,-0.0329999998212,0.0,0
