time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/10/26/20:12:13.102777,271406,1509019933,102242202,
2017/10/26/20:12:13.107030,271408,1509019933,122229049,
2017/10/26/20:12:13.143382,271410,1509019933,142262782,
2017/10/26/20:12:13.147238,271412,1509019933,162249627,
2017/10/26/20:12:35.162242,273614,1509019955,182299654,
2017/10/26/20:12:35.202888,273616,1509019955,202298715,
2017/10/26/20:12:35.207339,273618,1509019955,222307127,
2017/10/26/20:12:35.243574,273620,1509019955,242310454,
2017/10/26/20:12:35.247051,273622,1509019955,262307518,
2017/10/26/20:12:35.250649,273624,1509019955,282307485,
2017/10/26/20:12:52.581581,275358,1509019972,622343800,
2017/10/26/20:12:52.622601,275360,1509019972,642335346,
2017/10/26/20:13:12.856738,277384,1509019992,882609572,
2017/10/26/20:13:12.862243,277386,1509019992,902590977,
2017/10/26/20:13:12.882550,277388,1509019992,922593255,
2017/10/26/20:13:29.723574,279068,1509020009,721996275,
2017/10/26/20:13:29.727318,279070,1509020009,741994121,
2017/10/26/20:13:29.763266,279072,1509020009,761993775,
2017/10/26/20:13:29.768835,279074,1509020009,782980839,
