time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/10/27/21:56:58.953580,25300,1509112618,954090147,
2017/10/27/21:56:58.961453,25302,1509112618,974072405,
2017/10/27/21:57:17.406352,27146,1509112637,414097088,
2017/10/27/21:57:17.421040,27148,1509112637,434094971,
2017/10/27/21:57:58.390264,31242,1509112678,384300798,
2017/10/27/21:57:58.394094,31244,1509112678,404279175,
2017/10/27/21:57:58.431889,31246,1509112678,424275295,
2017/10/27/21:58:15.858772,32988,1509112695,844379627,
2017/10/27/21:58:15.862589,32990,1509112695,864371604,
2017/10/27/21:58:15.866450,32992,1509112695,884372553,
2017/10/27/21:58:15.881243,32994,1509112695,904371406,
2017/10/27/21:58:35.030716,34906,1509112715,24370533,
2017/10/27/21:58:35.034235,34908,1509112715,44366538,
2017/10/27/21:58:35.073476,34910,1509112715,64367062,
2017/10/27/21:58:53.691407,36772,1509112733,683621382,
2017/10/27/21:58:53.731207,36776,1509112733,723622903,
