time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/10/26/20:14:43.001628,286400,1509020083,42286878,
2017/10/26/20:14:43.043226,286402,1509020083,62296967,
2017/10/26/20:15:04.822249,288582,1509020104,862662367,
2017/10/26/20:15:04.842323,288584,1509020104,882663345,
2017/10/26/20:15:22.524151,290348,1509020122,522765647,
2017/10/26/20:15:40.963202,292192,1509020140,962835241,
2017/10/26/20:15:40.968068,292194,1509020140,982837195,
2017/10/26/20:15:40.971915,292196,1509020141,2832722,
2017/10/26/20:15:41.002334,292198,1509020141,22834205,
2017/10/26/20:15:41.023364,292202,1509020141,62846757,
2017/10/26/20:15:59.725595,294070,1509020159,742838156,
2017/10/26/20:15:59.763870,294072,1509020159,762835780,
2017/10/26/20:15:59.768093,294074,1509020159,782836755,
