time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/11/15/15:21:50.248371,120172,1510730527,377636317,
2017/11/15/15:21:50.252692,120174,1510730527,397636533,
2017/11/15/15:21:50.289049,120176,1510730527,417643750,
2017/11/15/15:21:50.293521,120178,1510730527,437641570,
2017/11/15/15:22:09.662469,122116,1510730546,818451565,
2017/11/15/15:22:09.668672,122118,1510730546,838448433,
2017/11/15/15:22:09.688643,122120,1510730546,858453188,
2017/11/15/15:22:29.150452,124064,1510730566,298132148,
2017/11/15/15:22:29.154182,124066,1510730566,318145927,
2017/11/15/15:22:29.196147,124068,1510730566,338132918,
2017/11/15/15:22:29.201249,124070,1510730566,358129982,
2017/11/15/15:22:29.237675,124072,1510730566,378133132,
2017/11/15/15:22:48.556702,126002,1510730585,708539301,
2017/11/15/15:22:48.593458,126004,1510730585,728536677,
2017/11/15/15:22:48.597697,126006,1510730585,748544023,
2017/11/15/15:22:48.631435,126008,1510730585,767578975,
2017/11/15/15:23:08.034322,127950,1510730605,188220951,
2017/11/15/15:23:08.072300,127952,1510730605,208216496,
2017/11/15/15:23:08.076196,127954,1510730605,228218327,
2017/11/15/15:23:27.700003,129916,1510730624,848256601,
2017/11/15/15:23:27.704339,129918,1510730624,868254852,
2017/11/15/15:23:27.740670,129920,1510730624,888251923,
2017/11/15/15:23:27.744395,129922,1510730624,898252609,
2017/11/15/15:23:47.140544,131860,1510730644,288097060,
2017/11/15/15:23:47.144450,131862,1510730644,308097273,
2017/11/15/15:23:47.180205,131864,1510730644,328093655,
2017/11/15/15:23:47.184650,131866,1510730644,348115857,
2017/11/15/15:23:47.221269,131868,1510730644,368091735,
2017/11/15/15:23:47.226427,131870,1510730644,388094571,
2017/11/15/15:24:06.614160,133808,1510730663,767599896,
2017/11/15/15:24:06.651783,133810,1510730663,787598018,
2017/11/15/15:24:06.655407,133812,1510730663,807599792,
2017/11/15/15:24:06.694793,133814,1510730663,827594134,
2017/11/15/15:24:26.086046,135756,1510730683,248419318,
2017/11/15/15:24:26.125271,135758,1510730683,268417363,
2017/11/15/15:24:26.129869,135760,1510730683,288423534,
2017/11/15/15:24:26.165774,135762,1510730683,308420717,
2017/11/15/15:24:45.504053,137696,1510730702,648509857,
2017/11/15/15:24:45.507789,137698,1510730702,668503532,
2017/11/15/15:24:45.511304,137700,1510730702,688504756,
2017/11/15/15:24:45.533300,137702,1510730702,708504375,
2017/11/15/15:24:45.580010,137704,1510730702,728504545,
