time,.seq,.stamp.secs,.stamp.nsecs,.frame_id
2017/11/15/16:05:08.138972,379948,1510733125,297593160,
2017/11/15/16:05:08.145076,379950,1510733125,317593363,
2017/11/15/16:05:08.158574,379952,1510733125,337594105,
2017/11/15/16:05:27.552611,381890,1510733144,717617518,
2017/11/15/16:05:27.557006,381892,1510733144,737620338,
2017/11/15/16:05:27.578675,381894,1510733144,757615402,
2017/11/15/16:05:47.251995,383860,1510733164,418321507,
2017/11/15/16:05:47.257749,383862,1510733164,438322778,
2017/11/15/16:05:47.279135,383864,1510733164,458324660,
2017/11/15/16:05:47.327544,383866,1510733164,478332749,
2017/11/15/16:06:06.676409,385802,1510733183,838438890,
2017/11/15/16:06:06.716395,385804,1510733183,858439442,
2017/11/15/16:06:06.720177,385806,1510733183,878477337,
2017/11/15/16:06:06.755933,385808,1510733183,898436449,
2017/11/15/16:06:22.788633,387412,1510733199,937730938,
2017/11/15/16:06:42.391372,389374,1510733219,557873772,
2017/11/15/16:06:42.398716,389376,1510733219,577876907,
2017/11/15/16:06:42.440269,389378,1510733219,597876692,
2017/11/15/16:07:01.873132,391318,1510733239,27681169,
2017/11/15/16:07:01.877978,391320,1510733239,47687719,
2017/11/15/16:07:01.913964,391322,1510733239,67684828,
2017/11/15/16:07:01.918530,391324,1510733239,87680371,
2017/11/15/16:07:21.467600,393274,1510733258,638117301,
2017/11/15/16:07:21.507235,393276,1510733258,658115101,
2017/11/15/16:07:21.508841,393278,1510733258,678115227,
2017/11/15/16:07:21.512967,393280,1510733258,698114726,
2017/11/15/16:07:21.533323,393282,1510733258,718117172,
2017/11/15/16:07:37.768196,394904,1510733274,938413535,
2017/11/15/16:07:37.804582,394906,1510733274,958411851,
2017/11/15/16:07:37.809851,394908,1510733274,978407745,
2017/11/15/16:07:57.386726,396866,1510733294,558188909,
2017/11/15/16:07:57.424638,396868,1510733294,578185151,
2017/11/15/16:07:57.428450,396870,1510733294,598185727,
2017/11/15/16:07:57.463990,396872,1510733294,618185527,
